text,clean_number
22.10,22.10
419.9,419.9
"149,00",149.00
169.00,169.00
55.00,55.00
69.00,69.00
135.00,135.00
8.83 vat ttl,8.83
135.00,135.00
135.00,135.00
579.00,579.00
315.00,315.00
698.00,698.00
90.00,90.00
"180,00",180.00
75.00,75.00
579.00,579.00
175.00,175.00
100.00,100.00
579.00,579.00
"3,949.00",3949.00
"1,198.00",1198.00
0.00,0.00
0.00,0.00
o.00,0.00
0.00,0.00
o.oo,0.00
 o.00,0.00
o.00,0.00
o.00,0.00
o.oo,0.00
o.oo,0.00
o.00,0.00
119.80,119.80
"1,317.80",1317.80
86.21,86.21
196.00,196.00
196.00,196.00
392.00,392.00
54.88,54.88
-22.50,22.50
816.38,816.38
145.00,145.00
"l5^ a1$408 -40,00",40.00
a.ao,0.00
o.oo,0.00
105.00,105.00
105.00,105.00
6.87 vat ttl,6.87
74.00,74.00
76.00,76.00
76.00,76.00
226.00,226.00
o.00,0.00
"1,533.00",1533.00
"91,59",91.59
273.00,273.00
273.00,273.00
132.83,132.83
"2,030.00",2030.00
178. 00,178.00
45. 00,45.00
229. 00,229.00
-114. 50,114.50
337.50,337.50
337.50,337.50
337.50,337.50
337.50,337.50
43. 00,43.00
43. 00,43.00
180. 00},180.000
11.78,11.78
180.00,180.00
29. 00,29.00
20. 00,20.00
"20, 00",20.00
69. 00,69.00
"19, 00",19.00
28. 00,28.00
1า. 00,11.00
55.00,55.00
55.00,55.00
3.60,3.60
360.00,360.00
"50,00",50.00
410.00,410.00
"2,814,966.70",2814966.70
"3,835,431.05",3835431.05
"เกก,0ก0.qd",100000.00
"149,526.08",149526.08
"-9)7,865.84",907865.84
"6,802,057.)0",6802057.00
250.00,250.00
1oo.00,100.00
350.00,350.00
24.5,24.5
374.5,374.5
55.00,55.00
"55,00",55.00
"3,60",3.60
"10,000.00",10000.00
700.00,700.00
"10,700.00",10700.00
360.00,360.00
 o.00,0.00
360.00,360.00
23.55,23.55
58. 00,58.00
e.0,0.0
t,
108. 00,108.00
139.00,139.00
169.00,169.00
69.00,69.00
20.00,20.00
20.00,20.00
20.85,20.85
8396.15,8396.15
"139,00",139.00
"0,00",0.00
159.00,159.00
"49, 00",49.00
69.00,69.00
"59, 00",59.00
049. 00,049.00
"129, 00",129.00
"299, 00",299.00
62.28,62.28
"952, 00",952.00
"29, 00",29.00
3'.00,3.00
"34,00",34.00
"30, 00",30.00
"7, 0(",7.00
"0, 00",0.00
132. 00,132.00
thb369. 00,00
38. $0,38.
38.10,38.10
196. 00,196.00
369,369
369,369
35.00,35.00
37.00,37.00
129.00,129.00
12.00,12.00
 io.00,10.00
i5.00,15.00
37.00,37.00
-37.00,37.00
238.00,238.00
15.5,15.5
535.00[,535.000
81.00,81.00
454,454
oo,00
29.70,29.70
3.ฺป(,3.00
n. ii,.11
ม.iง,.1
"39,0()",39.000
^.5|,0.51
)3 ^6,03006
ร.งบ,.
พ.q0,.00
หรง.งัง,.0
เวีค.งง,10.
35.[0,35.00
130.(0,130.00
3; -,
อง.ฺจา,.01
"143,66",143.66
18o q0,180
.,.
175 60,17560
"3,615,00",3615.00
"13,750.00",13750.00
0.00,0.00
962.50,962.50
"14,712.50",14712.50
"0, 00มi",0.001
u. oon,.00
"39, 00",39.00
"0, 00]i",0.0001
"0, f0]",0.
"39, 00",39.00
750.00,750.00
100.00,100.00
59.50,59.50
909.50,909.50
"?0,300 00",00
29.500.00,29500.00
"1,929.91",1929.91
40. 00,40.00
"59, 00",59.00
99.00,99.00
"89, 00",89.00
th8  89. 00,89.00
"""""""ทaร""""""",0000000
30. 00,30.00
0. 00ii,0.0011
30. 00,30.00
"1,575.00",1575.00
"1,575.00",1575.00
"1,650",1.650
"1,650 บาท",1.650
"7,500.00",7500.00
"2,000.00",2000.00
"9,500.00",9500.00
850.00,850.00
850.00 บาท,850.00
1o.0c,10.00
iio.0o,110.00
55.00,55.00
o.qd,0.00
5.00,5.00
83.93,83.93
"b6o,00",60.00
"13,!20,00",13120.00
"13,!20,00",13120.00
120.00,120.00
120.00,120.00
120.0d,120.00
130.00,130.00
490.00,490.00
1oo . 0o,100.
120 .00,120.00
209 . 00,209.
32 .00,32.00
69 . 00,69.
1o0 . 00,100.
630.00,630.00
41 . 21,41.
1*90.0,90.0
1*60.0,60.0
1*100.0,100.0
discount,01500
grand total: 250.0,250.0
35 100 00,35100
bo. qd,0.00
"b5,100.00",5100.00
"10,200.00",10200.00
"2,000.00",2000.00
500.00,500.00
"12,700.00",12700.00
"19,080,00",19080.00
"15,900.00",15900.00
"34,980.00",34980.00
"23,850",23.850
"23,850",23.850
"19,080 |00",19.080
"15,900 |00",15.900
"34,980 |00",34.980
140.00,140.00
9.16,9.16
140.00,140.00
179,179
179,179
"14, o0",14.
"94, 00",94.00
i. ooa,1.000
108. 00,108.00
199,199
oo,00
"199,(0",199.00
13,13
02,02
68o.00,680.00
680.00,680.00
60.00,60.00
60.00,60.00
3.93,3.93
4o.00,40.00
50.00 b,50.00
"1,690.00 b",1690.00
420.00,420.00
420.00,420.00
290,290
44.00,44.00
21.85,21.85
334.00,334.00
105.00,105.00
50.00 b,50.00
"2,360.00 b",2360.00
"1,492.00",1492.00
"1,312.00",1312.00
"200,00",200.00
200.00,200.00
0.00,0.00
224.28,224.28
"3,428.28",3428.28
"21,500.00",21500.00
"1,505.00 บาท",1505.00
"23,005.00 บาท",23005.00
99. 00,99.00
0. 00,0.00
99. 00,99.00
6. 48,6.48
"1,137.50",1137.50
"1,137.50",1137.50
"2,275.00",2275.00
"5,310.00",5310.00
"5,310.00",5310.00
350.00,350.00
240.00,240.00
600.q0,600.00
650.00,650.00
"1,840.00",1840.00
"1,057.00",1057.00
"2,337.00",2337.00
200.00,200.00
"3,594.00",3594.00
"7,000.00",7000.00
"7,000.00",7000.00
"13,500.00",13500.00
"1,925.00",1925.00
"29,425.00",29425.00
"6,500.๓",6500.0
455.00,455.00
"6,955.00",6955.00
"1,905.00",1905.00
"2,730.00",2730.00
324.45,324.45
"4,959.45",4959.45
"4,959.45",4959.45
grand total,9000001
"30,000.00",30000.00
"3,500.00",3500.00
"4,000.00",4000.00
"7,500.00",7500.00
"4,500.00 บาท",4500.00
2835.00 บาท,2835.00
"43,335.00 บาท",43335.00
"68,750.00",68750.00
300.00,300.00
"69,050.00",69050.00
297.,297.
115.00,115.00
79.00,79.00
95.00,95.00
o.oo,0.00
586.00,586.00
"38,34",38.34
"13,500. 00",13500.00
945. 00,945.00
"14,445.00",14445.00
"12,780.00",12780.00
"2,000.00",2000.00
"14,780.00",14780.00
156,156
do,00
156,156
oo,00
lo,10
21,21
156 . 00,156.
156,156
oo,00
lo,10
2 1,21
a.0d,0.00
ชม.0ฎ,.0
.ฎน...,.
รงว],0
46 . 00,46.
14. 00,14.00
186 . 00,186.
17. 00,17.00
105. 00,105.00
thb  368. 0d,368.00
thb 24. 07,24.07
716,716
171,171
828,828
80,80
loo,100
